word,pinyin,start,file
合情合理,"['he', 'qing', 'he', 'li']",0:09:26.120000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部13.srt
礼义廉耻,"['li', 'yi', 'lian', 'chi']",0:03:38.210000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.18.1080P.PPTV原画.x264.srt
痴人说梦,"['chi', 'ren', 'shuo', 'meng']",0:25:04,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-48.srt
蒙在鼓里,"['meng', 'zai', 'gu', 'li']",0:23:33.360000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部08.srt
离群索居,"['li', 'qun', 'suo', 'ju']",0:23:03.970000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.04.1080P.PPTV原画.x264.srt
据理力争,"['ju', 'li', 'li', 'zheng']",0:04:41.520000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部10.srt
证据确凿,"['zheng', 'ju', 'que', 'zao']",0:32:36.400000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部08.srt
早出晚归,"['zao', 'chu', 'wan', 'gui']",0:05:30.500000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部27.srt
诡秘莫测,"['gui', 'mi', 'mo', 'ce']",0:21:41.800000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-13.srt
恻隐之心,"['ce', 'yin', 'zhi', 'xin']",0:19:16.840000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
心事重重,"['xin', 'shi', 'chong', 'chong']",0:11:01.100000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部32.srt
重操旧业,"['chong', 'cao', 'jiu', 'ye']",0:31:57.970000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.29.1080P.PPTV原画.x264.srt
夜深人静,"['ye', 'shen', 'ren', 'jing']",0:42:43.480000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-27.srt
精神恍惚,"['jing', 'shen', 'huang', 'hu']",0:14:03.220000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.26.1080P.PPTV原画.x264.srt
胡思乱想,"['hu', 'si', 'luan', 'xiang']",0:04:42.400000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部23.srt
相机行事,"['xiang', 'ji', 'xing', 'shi']",0:29:13.200000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-38.srt
食肉寝皮,"['shi', 'rou', 'qin', 'pi']",0:41:15.766000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部35.srt
皮开肉绽,"['pi', 'kai', 'rou', 'zhan']",0:37:21.680000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部05.srt
斩尽杀绝,"['zhan', 'jin', 'sha', 'jue']",0:21:53.960000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-32.srt
绝顶聪明,"['jue', 'ding', 'cong', 'ming']",0:29:51.200000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部28.srt
明知故问,"['ming', 'zhi', 'gu', 'wen']",0:10:14.920000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部06.srt
刎颈之交,"['wen', 'jing', 'zhi', 'jiao']",0:08:37.890000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.21.1080P.PPTV原画.x264.srt
骄奢淫逸,"['jiao', 'she', 'yin', 'yi']",0:24:51.480000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-30.srt
一年半载,"['yi', 'nian', 'ban', 'zai']",0:13:17.040000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-45.srt
在所不辞,"['zai', 'suo', 'bu', 'ci']",0:30:21.200000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-02.srt
慈眉善眼,"['ci', 'mei', 'shan', 'yan']",0:36:46.800000,/home/indigo6a/Documents/projects/orc/srt/第三部/神探狄仁杰3-33.srt
言过其实,"['yan', 'guo', 'qi', 'shi']",0:13:43.566000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部35.srt
势成骑虎,"['shi', 'cheng', 'qi', 'hu']",0:15:38.566000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部39.srt
虎视眈眈,"['hu', 'shi', 'dan', 'dan']",0:18:30.760000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部20.srt
殚精竭虑,"['dan', 'jing', 'jie', 'lv']",0:05:11.980000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.03.1080P.PPTV原画.x264.srt
屡战屡败,"['lv', 'zhan', 'lv', 'bai']",0:32:00.880000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部16.srt
败军之将,"['bai', 'jun', 'zhi', 'jiang']",0:11:58.280000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部09.srt
将信将疑,"['jiang', 'xin', 'jiang', 'yi']",0:36:27.600000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部15.srt
以貌取人,"['yi', 'mao', 'qu', 'ren']",0:19:13.120000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部22.srt
仁至义尽,"['ren', 'zhi', 'yi', 'jin']",0:25:00.160000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部24.srt
谨言慎行,"['jin', 'yan', 'shen', 'xing']",0:23:31.100000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部30.srt
形格势禁,"['xing', 'ge', 'shi', 'jin']",0:05:58.166000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部32.srt
今生今世,"['jin', 'sheng', 'jin', 'shi']",0:23:47.520000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部09.srt
十之八九,"['shi', 'zhi', 'ba', 'jiu']",0:20:51.900000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部33.srt
九五之尊,"['jiu', 'wu', 'zhi', 'zun']",0:41:48.880000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.28.1080P.PPTV原画.x264.srt
尊姓大名,"['zun', 'xing', 'da', 'ming']",0:34:22.820000,/home/indigo6a/Documents/projects/orc/srt/第一部/[神探狄仁杰1无台标版].Shen.Tan.Di.Ren.Jie.Complete.04.1080P.PPTV原画.x264.srt
明察秋毫,"['ming', 'cha', 'qiu', 'hao']",0:05:53.520000,/home/indigo6a/Documents/projects/orc/srt/第二部/神探狄仁杰第二部03.srt
